epoch;r2;mse;phm
0;-3.0916051985887387;11265.1396484375;102982213632.0
1;-3.0916051985887387;11265.1396484375;102982213632.0
2;-3.0916051985887387;11265.1396484375;102982213632.0
3;-3.0916051985887387;11265.1396484375;102982213632.0
4;-3.0916051985887387;11265.1396484375;102982213632.0
5;-3.0916051985887387;11265.1396484375;102982213632.0
6;-3.0916051985887387;11265.1396484375;102982213632.0
7;-3.0916051985887387;11265.1396484375;102982213632.0
8;-3.0916051985887387;11265.1396484375;102982213632.0
9;-3.0916051985887387;11265.1396484375;102982213632.0
10;-3.0916051985887387;11265.1396484375;102982213632.0
11;-3.0916051985887387;11265.1396484375;102982213632.0
12;-3.0916051985887387;11265.1396484375;102982213632.0
13;-3.0916051985887387;11265.1396484375;102982213632.0
14;-3.0916051985887387;11265.1396484375;102982213632.0
15;-3.0916051985887387;11265.1396484375;102982213632.0
16;-3.0916051985887387;11265.1396484375;102982213632.0
17;-3.0916051985887387;11265.1396484375;102982213632.0
18;-3.0916051985887387;11265.1396484375;102982213632.0
19;-3.0916051985887387;11265.1396484375;102982213632.0
20;-3.0916051985887387;11265.1396484375;102982213632.0
21;-3.0916051985887387;11265.1396484375;102982213632.0
22;-3.0916051985887387;11265.1396484375;102982213632.0
23;-3.0916051985887387;11265.1396484375;102982213632.0
24;-3.0916051985887387;11265.1396484375;102982213632.0
25;-3.0916051985887387;11265.1396484375;102982213632.0
26;-3.0916051985887387;11265.1396484375;102982213632.0
27;-3.0916051985887387;11265.1396484375;102982213632.0
28;-3.0916051985887387;11265.1396484375;102982213632.0
29;-3.0916051985887387;11265.1396484375;102982213632.0
30;-3.0916051985887387;11265.1396484375;102982213632.0
31;-3.0916051985887387;11265.1396484375;102982213632.0
32;-3.0916051985887387;11265.1396484375;102982213632.0
33;-3.0916051985887387;11265.1396484375;102982213632.0
34;-3.0916051985887387;11265.1396484375;102982213632.0
35;-3.0916051985887387;11265.1396484375;102982213632.0
36;-3.0916051985887387;11265.1396484375;102982213632.0
37;-3.0916051985887387;11265.1396484375;102982213632.0
38;-3.0916051985887387;11265.1396484375;102982213632.0
39;-3.0916051985887387;11265.1396484375;102982213632.0
40;-3.0916051985887387;11265.1396484375;102982213632.0
41;-3.0916051985887387;11265.1396484375;102982213632.0
42;-3.0916051985887387;11265.1396484375;102982213632.0
43;-3.0916051985887387;11265.1396484375;102982213632.0
44;-3.0916051985887387;11265.1396484375;102982213632.0
45;-3.0916051985887387;11265.1396484375;102982213632.0
46;-3.0916051985887387;11265.1396484375;102982213632.0
47;-3.0916051985887387;11265.1396484375;102982213632.0
48;-3.0916051985887387;11265.1396484375;102982213632.0
49;-3.0916051985887387;11265.1396484375;102982213632.0
